Cart Standard,Carts In Buffer,Carts Picked,Flights On Date,Total Flights,Total Demand,Information,Total Carts Required
S25 - 300 - Back Up - 1,9,0,Flights on 02/05/2025,10,33,2933,9929
S25 - 300 - Back Up - 1,9,0,Flights on 03/05/2025,11,33,3509,9929
S25 - 300 - Back Up - 1,9,0,Flights on 04/05/2025,12,33,3487,9929
S25 - 300 - Back Up - 2,7,0,Flights on 02/05/2025,10,33,2933,9929
S25 - 300 - Back Up - 2,7,0,Flights on 03/05/2025,11,33,3509,9929
S25 - 300 - Back Up - 2,7,0,Flights on 04/05/2025,12,33,3487,9929
S25 - 300 - Duty Free - Back Up,4,0,Flights on 02/05/2025,10,33,2933,9929
S25 - 300 - Duty Free - Back Up,4,0,Flights on 03/05/2025,11,33,3509,9929
S25 - 300 - Duty Free - Back Up,4,0,Flights on 04/05/2025,12,33,3487,9929
S25 - 300 - Duty Free - Service - 1,7,0,Flights on 02/05/2025,10,33,2933,9929
S25 - 300 - Duty Free - Service - 1,7,0,Flights on 03/05/2025,11,33,3509,9929
S25 - 300 - Duty Free - Service - 1,7,0,Flights on 04/05/2025,12,33,3487,9929
S25 - 300 - Duty Free - Service - 2,4,0,Flights on 02/05/2025,10,33,2933,9929
S25 - 300 - Duty Free - Service - 2,4,0,Flights on 03/05/2025,11,33,3509,9929
S25 - 300 - Duty Free - Service - 2,4,0,Flights on 04/05/2025,12,33,3487,9929
S25 - 800 - Back Up - 1,104,18,Flights on 02/05/2025,131,456,2933,9929
S25 - 800 - Back Up - 1,104,18,Flights on 03/05/2025,164,456,3509,9929
S25 - 800 - Back Up - 1,104,18,Flights on 04/05/2025,161,456,3487,9929
S25 - 800 - Back Up - 2,98,18,Flights on 02/05/2025,131,464,2933,9929
S25 - 800 - Back Up - 2,98,18,Flights on 03/05/2025,168,464,3509,9929
S25 - 800 - Back Up - 2,98,18,Flights on 04/05/2025,165,464,3487,9929
S25 - 800 - Back Up - 3,73,18,Flights on 02/05/2025,131,456,2933,9929
S25 - 800 - Back Up - 3,73,18,Flights on 03/05/2025,164,456,3509,9929
S25 - 800 - Back Up - 3,73,18,Flights on 04/05/2025,161,456,3487,9929
S25 - 800 - Duty Free - Back Up - 1,28,18,Flights on 02/05/2025,131,464,2933,9929
S25 - 800 - Duty Free - Back Up - 1,28,18,Flights on 03/05/2025,168,464,3509,9929
S25 - 800 - Duty Free - Back Up - 1,28,18,Flights on 04/05/2025,165,464,3487,9929
S25 - 800 - Duty Free - Back Up - 2,45,18,Flights on 02/05/2025,131,464,2933,9929
S25 - 800 - Duty Free - Back Up - 2,45,18,Flights on 03/05/2025,168,464,3509,9929
S25 - 800 - Duty Free - Back Up - 2,45,18,Flights on 04/05/2025,165,464,3487,9929
S25 - 800 - Duty Free - Back Up - 3,53,18,Flights on 02/05/2025,131,464,2933,9929
S25 - 800 - Duty Free - Back Up - 3,53,18,Flights on 03/05/2025,168,464,3509,9929
S25 - 800 - Duty Free - Back Up - 3,53,18,Flights on 04/05/2025,165,464,3487,9929
S25 - 800 - Skyshop - Back Up,1,18,Flights on 02/05/2025,131,464,2933,9929
S25 - 800 - Skyshop - Back Up,1,18,Flights on 03/05/2025,168,464,3509,9929
S25 - 800 - Skyshop - Back Up,1,18,Flights on 04/05/2025,165,464,3487,9929
S25 - A321 - Back Up - Double,9,4,Flights on 02/05/2025,37,109,2933,9929
S25 - A321 - Back Up - Double,9,4,Flights on 03/05/2025,36,109,3509,9929
S25 - A321 - Back Up - Double,9,4,Flights on 04/05/2025,36,109,3487,9929
S25 - A321 - Back Up - Single,6,5,Flights on 02/05/2025,37,109,2933,9929
S25 - A321 - Back Up - Single,6,5,Flights on 03/05/2025,36,109,3509,9929
S25 - A321 - Back Up - Single,6,5,Flights on 04/05/2025,36,109,3487,9929
S25 - A321 - Duty Free - Back Up 1,6,5,Flights on 02/05/2025,37,109,2933,9929
S25 - A321 - Duty Free - Back Up 1,6,5,Flights on 03/05/2025,36,109,3509,9929
S25 - A321 - Duty Free - Back Up 1,6,5,Flights on 04/05/2025,36,109,3487,9929
S25 - A321 - Duty Free - Back Up 2,6,5,Flights on 02/05/2025,37,109,2933,9929
S25 - A321 - Duty Free - Back Up 2,6,5,Flights on 03/05/2025,36,109,3509,9929
S25 - A321 - Duty Free - Back Up 2,6,5,Flights on 04/05/2025,36,109,3487,9929
S25 - A321 - Duty Free - Back Up 3,5,5,Flights on 02/05/2025,37,109,2933,9929
S25 - A321 - Duty Free - Back Up 3,5,5,Flights on 03/05/2025,36,109,3509,9929
S25 - A321 - Duty Free - Back Up 3,5,5,Flights on 04/05/2025,36,109,3487,9929
S25 - A321 - Skyshop - Back Up,2,5,Flights on 02/05/2025,37,109,2933,9929
S25 - A321 - Skyshop - Back Up,2,5,Flights on 03/05/2025,36,109,3509,9929
S25 - A321 - Skyshop - Back Up,2,5,Flights on 04/05/2025,36,109,3487,9929
S25 - A330 - Back Up 1,1,0,Flights on 02/05/2025,3,9,2933,9929
S25 - A330 - Back Up 1,1,0,Flights on 03/05/2025,3,9,3509,9929
S25 - A330 - Back Up 1,1,0,Flights on 04/05/2025,3,9,3487,9929
S25 - A330 - Back Up 2,1,0,Flights on 02/05/2025,3,9,2933,9929
S25 - A330 - Back Up 2,1,0,Flights on 03/05/2025,3,9,3509,9929
S25 - A330 - Back Up 2,1,0,Flights on 04/05/2025,3,9,3487,9929
S25 - A330 - Back Up 3,3,0,Flights on 02/05/2025,3,9,2933,9929
S25 - A330 - Back Up 3,3,0,Flights on 03/05/2025,3,9,3509,9929
S25 - A330 - Back Up 3,3,0,Flights on 04/05/2025,3,9,3487,9929
S25 - A330 - Duty Free - Back Up 1,1,0,Flights on 02/05/2025,3,9,2933,9929
S25 - A330 - Duty Free - Back Up 1,1,0,Flights on 03/05/2025,3,9,3509,9929
S25 - A330 - Duty Free - Back Up 1,1,0,Flights on 04/05/2025,3,9,3487,9929
S25 - A330 - Duty Free - Back Up 2,1,0,Flights on 02/05/2025,3,9,2933,9929
S25 - A330 - Duty Free - Back Up 2,1,0,Flights on 03/05/2025,3,9,3509,9929
S25 - A330 - Duty Free - Back Up 2,1,0,Flights on 04/05/2025,3,9,3487,9929
S25 - Atlas Box 1,148,22,Flights on 02/05/2025,185,626,2933,9929
S25 - Atlas Box 1,148,22,Flights on 03/05/2025,221,626,3509,9929
S25 - Atlas Box 1,148,22,Flights on 04/05/2025,220,626,3487,9929
S25 - Atlas Box 1 - RC,145,22,Flights on 02/05/2025,188,635,2933,9929
S25 - Atlas Box 1 - RC,145,22,Flights on 03/05/2025,224,635,3509,9929
S25 - Atlas Box 1 - RC,145,22,Flights on 04/05/2025,223,635,3487,9929
S25 - Atlas Box 2,171,44,Flights on 02/05/2025,364,1234,2933,9929
S25 - Atlas Box 2,171,44,Flights on 03/05/2025,436,1234,3509,9929
S25 - Atlas Box 2,171,44,Flights on 04/05/2025,434,1234,3487,9929
S25 - Atlas Box 3,5,0,Flights on 02/05/2025,9,27,2933,9929
S25 - Atlas Box 3,5,0,Flights on 03/05/2025,9,27,3509,9929
S25 - Atlas Box 3,5,0,Flights on 04/05/2025,9,27,3487,9929
S25 - Atlas Box 4,20,0,Flights on 02/05/2025,6,18,2933,9929
S25 - Atlas Box 4,20,0,Flights on 03/05/2025,6,18,3509,9929
S25 - Atlas Box 4,20,0,Flights on 04/05/2025,6,18,3487,9929
S25 - Back Up - ETF 1,5,0,Flights on 02/05/2025,4,11,2933,9929
S25 - Back Up - ETF 1,5,0,Flights on 03/05/2025,3,11,3509,9929
S25 - Back Up - ETF 1,5,0,Flights on 04/05/2025,4,11,3487,9929
S25 - Back Up - ETF 2,5,0,Flights on 02/05/2025,4,11,2933,9929
S25 - Back Up - ETF 2,5,0,Flights on 03/05/2025,3,11,3509,9929
S25 - Back Up - ETF 2,5,0,Flights on 04/05/2025,4,11,3487,9929
S25 - Bond Bag 1,192,22,Flights on 02/05/2025,182,617,2933,9929
S25 - Bond Bag 1,192,22,Flights on 03/05/2025,218,617,3509,9929
S25 - Bond Bag 1,192,22,Flights on 04/05/2025,217,617,3487,9929
S25 - Duty Free - Back Up - ETF 1,0,0,Flights on 02/05/2025,4,11,2933,9929
S25 - Duty Free - Back Up - ETF 1,0,0,Flights on 03/05/2025,3,11,3509,9929
S25 - Duty Free - Back Up - ETF 1,0,0,Flights on 04/05/2025,4,11,3487,9929
S25 - Duty Free - Back Up - ETF 2.,0,0,Flights on 02/05/2025,4,11,2933,9929
S25 - Duty Free - Back Up - ETF 2.,0,0,Flights on 03/05/2025,3,11,3509,9929
S25 - Duty Free - Back Up - ETF 2.,0,0,Flights on 04/05/2025,4,11,3487,9929
S25 - Duty Free Service - Double,14,23,Flights on 02/05/2025,178,602,2933,9929
S25 - Duty Free Service - Double,14,23,Flights on 03/05/2025,213,602,3509,9929
S25 - Duty Free Service - Double,14,23,Flights on 04/05/2025,211,602,3487,9929
S25 - Service Cart - Double,204,44,Flights on 02/05/2025,366,1229,2933,9929
S25 - Service Cart - Double,204,44,Flights on 03/05/2025,433,1229,3509,9929
S25 - Service Cart - Double,204,44,Flights on 04/05/2025,430,1229,3487,9929
S25 - Service Cart - Single,35,4,Flights on 02/05/2025,47,142,2933,9929
S25 - Service Cart - Single,35,4,Flights on 03/05/2025,47,142,3509,9929
S25 - Service Cart - Single,35,4,Flights on 04/05/2025,48,142,3487,9929
S25 - Skyshop Service - Double,3,23,Flights on 02/05/2025,188,635,2933,9929
S25 - Skyshop Service - Double,3,23,Flights on 03/05/2025,224,635,3509,9929
S25 - Skyshop Service - Double,3,23,Flights on 04/05/2025,223,635,3487,9929
S25 - TK/DB - Back Up - Double,2,0,Flights on 02/05/2025,,8,2933,9929
S25 - TK/DB - Back Up - Double,2,0,Flights on 03/05/2025,4,8,3509,9929
S25 - TK/DB - Back Up - Double,2,0,Flights on 04/05/2025,4,8,3487,9929
S25 - TK/DB - Service Cart - Single 1,1,0,Flights on 02/05/2025,,8,2933,9929
S25 - TK/DB - Service Cart - Single 1,1,0,Flights on 03/05/2025,4,8,3509,9929
S25 - TK/DB - Service Cart - Single 1,1,0,Flights on 04/05/2025,4,8,3487,9929
S25 - TK/DB - Service Cart - Single 2,0,0,Flights on 02/05/2025,,8,2933,9929
S25 - TK/DB - Service Cart - Single 2,0,0,Flights on 03/05/2025,4,8,3509,9929
S25 - TK/DB - Service Cart - Single 2,0,0,Flights on 04/05/2025,4,8,3487,9929
